mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.17241009076436362,0.0046427249908447266,0.9418942014730586,0.9995614946409711,0.6,0.5,3,1,500,0.5,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",300,0.91725768321513,0.9998792270531401,0.9502415458937198,0.9995221027479092,0.9584541062801932,0.9992831541218639,0.035705441566530195,0.00022961900137111264,0.017832945612649993,0.00024493472025463256
0.1647761662801107,0.004279772440592448,0.9451030593312341,1.0,0.6,0.5,3,1,500,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.8, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",194,0.91725768321513,1.0,0.9531400966183575,1.0,0.9652173913043478,1.0,0.032196925738140966,0.00022389288907798783,0.020400102544876276,0.0
0.17287818590799967,0.00797414779663086,0.9439732067496304,1.0,0.6,0.5,3,1,500,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 1.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",236,0.9191489361702128,1.0,0.9589371980676329,1.0,0.9541062801932367,1.0,0.009072714343914164,0.005508647874451126,0.01775904263724646,0.0
0.15112765630086264,0.005452156066894531,0.9454121285373775,0.9997207937250013,0.6,0.5,3,1,600,0.5,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 600}",185,0.9205673758865248,0.9998792270531401,0.9521739130434783,0.9996415770609319,0.963768115942029,0.9996415770609318,0.005483865699332067,0.0006585007497831899,0.018285100617162754,0.00011202928069293025
0.2118067741394043,0.006353457768758138,0.9466990478462687,1.0,0.6,0.5,3,1,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.8, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 600}",154,0.9196217494089834,1.0,0.9536231884057971,1.0,0.9671497584541062,1.0,0.02301919541261825,0.0012527059146522836,0.02002503172988969,0.0
0.2019054889678955,0.01159969965616862,0.9450912427515599,1.0,0.6,0.5,3,1,600,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 1.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 600}",195,0.9205673758865248,1.0,0.9594202898550726,1.0,0.9555555555555555,1.0,0.03743550622797028,0.00994567392862938,0.017506993041629608,0.0
0.2272658348083496,0.006654183069864909,0.9439748948324409,0.9998805256869773,0.6,0.5,3,1,700,0.5,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 700}",234,0.9186761229314421,1.0,0.9502415458937199,0.9998805256869774,0.9632850241545894,0.9997610513739545,0.026765638251404017,0.0016945081225891313,0.01875586487339322,9.755036809174561e-05
0.239026149113973,0.0051030317942301435,0.9482984125269248,1.0,0.6,0.5,3,1,700,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.8, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 700}",105,0.9210401891252955,1.0,0.9555555555555556,1.0,0.9685990338164251,1.0,0.054347701690630405,0.0001649670890571688,0.020095764449863076,0.0
0.2247921625773112,0.004424571990966797,0.9468544264907458,1.0,0.6,0.5,3,1,700,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 1.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 700}",147,0.9210401891252956,1.0,0.9603864734299516,1.0,0.9594202898550724,1.0,0.001990105937332033,0.0005569811473913027,0.01835766441970875,0.0
0.24940848350524902,0.009924968083699545,0.9473256266726089,0.9999601752289925,0.6,0.5,3,1,800,0.5,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",135,0.9238770685579196,1.0,0.952657004830918,1.0,0.9657004830917875,0.9998805256869774,0.006469887594369429,0.006564145510825097,0.017498297354119594,5.6320731277264074e-05
0.26023268699645996,0.005312045415242513,0.9492526294703246,1.0,0.6,0.5,3,1,800,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.8, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",76,0.9234042553191489,1.0,0.9560386473429953,1.0,0.9685990338164251,1.0,0.04252239592056267,7.306102126169139e-05,0.019077165280452103,0.0
0.3158261775970459,0.008603572845458984,0.9473340670866617,1.0,0.6,0.5,3,1,800,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 1.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",133,0.9215130023640662,1.0,0.961352657004831,1.0,0.9594202898550724,1.0,0.07216229627215565,0.00495472512738827,0.01837517613866724,0.0
0.3110623359680176,0.012550671895345053,0.9468510503251247,0.9999601752289925,0.6,0.5,3,1,900,0.5,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'subsample': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 900}",148,0.9219858156028369,1.0,0.9531400966183574,1.0,0.9657004830917875,0.9998805256869774,0.043877110582793644,0.00938529610470118,0.01840475516916351,5.6320731277264074e-05
